1871;GIJON II;43.5580;-5.6984
1203;GINGERVILLE CREEK;38.9583;-76.555
1911;GIRNE;35.3500;33.3333
1613;GISBORNE;-38.6755;178.0224
825;GLADSTONE;-23.8538;151.3137
597;GLOUCESTER POINT;37.2467;-76.5
2041;GOHEUNG_BALPO;34.4811;127.3428
1704;GOLD COAST SEAWAY 2;-27.95;153.4167
729;GOLOMIANYI (GOLOMIANYI OSTROV);79.5500;90.6167
1368;GOODS ISLAND;-10.5617;142.1517
74;GOTEBORG - KLIPPAN;57.6833;11.9000
1236;GOTEBORG - TORSHAMNEN;57.6847;11.7906
2133;GOTEBORG-RINGON;57.7167;11.9667
2050;GRANADILLA;28.0853;-16.4896
526;GRAND ISLE;29.2633;-89.9567
930;GRAND PORT;-20.3667;57.7500
993;GREYMOUTH;-42.45;171.2000
877;GRINDAVIK;63.8333;-22.4333
1143;GRINDSTONE;47.3833;-61.8667
387;GRONDINES;46.5833;-72.0333
77;GRONSKAR;59.2833;19.0333
1413;GUADALUPE ISLAND II;28.8833;-118.3
418;GUANTANAMO BAY;19.9067;-75.1467
693;GUAYMAS;27.9167;-110.9
1053;GUIRIA;10.5667;-62.2833
2146;GULEOBDO;37.1944;125.9953
1527;GUNSAN (OUTER PORT);35.9756;126.5633
2253;GWANGYANG;34.9036;127.7547
2363;HABANA;23.1342;-82.3383
460;HACHINOHE I;40.5333;141.5333
1266;HACHINOHE II;40.5317;141.5278
1797;HADERA;32.4704;34.8632
1306;HAGI;34.4333;131.4167
2221;HAIFA II;32.8289;34.9907
1428;HAIKOU;20.0167;110.2833
1094;HAKATA;33.6189;130.4078
813;HAKODATE I;41.7817;140.7247
671;HAKODATE II;41.7667;140.7167
1270;HALDIA;22.0333;88.1000
96;HALIFAX;44.6667;-63.5833
1585;HAMADA II;34.8972;132.0661
315;HAMINA;60.5628;27.1792
758;HAMMERFEST;70.6648;23.6787
1442;HANASAKI II;43.2781;145.5678
139;HANASAKI;43.2833;145.5833
2184;HANIMADHOO B;6.7667;73.1733
71;HANKO / HANGO;59.8229;22.9766
703;HANSTHOLM;57.1189;8.5956
25;HARLINGEN;53.1756;5.4094
176;HARRINGTON HBR;50.5000;-59.4833
681;HARSTAD;68.8013;16.5482
742;HARWICH;51.9480;1.2921
1717;HAULOVER PIER;25.9033;-80.12
1246;HAY POINT;-21.2833;149.3000
313;HEIMSJOEN;63.4252;9.1015
146;HEL;54.6000;18.8000
1113;HELGEROA;58.9952;9.8564
231;HELIGMAN;60.2000;19.3000
14;HELSINKI;60.1536;24.9562
2276;HERNE BAY;51.3820;1.1156
1489;HEUKSANDO;34.6839;125.4364
936;HEYSHAM;54.0318;-2.9203
2237;HIENGHENE;-20.692;164.9431
2051;HIERRO;27.7841;-17.9016
1761;HILLARYS;-31.8256;115.7386
300;HILO,  HAWAII ISLAND;19.7300;-155.055
1758;HINKLEY POINT;51.2106;-3.1313
1451;HIRON POINT;21.7833;89.4667
1028;HIROSIMA;34.3531;132.4647
89;HIRTSHALS;57.5956;9.9639
838;HOBART;-42.8773;147.3410
22;HOEK VAN HOLLAND;51.9775;4.1200
5;HOLYHEAD;53.3139;-4.6204
841;HONDAU;20.6667;106.8000
1373;HONIARA II;-9.4333;159.9500
1861;HONIARA-B;-9.4289;159.9554
1003;HONNGU;18.8000;105.7667
1267;HONNINGSVAG;70.9803;25.9727
155;HONOLULU;21.3067;-157.867
119;HORNBAEK;56.0911;12.4583
133;HOSOJIMA;32.4286;131.6694
1883;HUELVA;37.1320;-6.8337
1923;HUPO;36.6775;129.4533
1932;IBIZA;38.9112;1.4498
1926;IGNEDA;41.8833;28.0167
32;IJMUIDEN;52.4622;4.5547
2236;ILE D'AIX;46.0074;-1.1743
2012;ILE ROYALE;5.2843;-52.5865
2243;ILET LA MERE;4.8938;-52.1905
1214;ILFRACOMBE;51.2111;-4.1124
1032;ILHA FISCAL;-22.8967;-43.1667
542;IMBITUBA;-28.2333;-48.65
286;IMMINGHAM;53.6302;-0.1874
