id lat lon provider
STOL00ROU 44.5627 24.7897 INGV|SGO-EPND|UGA-CNRS
WUTH00NOR 77.0025 15.5386 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
KTHA00GRC 36.2564 23.0625 INGV|SGO-EPND|UGA-CNRS
AVLS00ESP 43.566 -5.9058 INGV|SGO-EPND
AZGR00PRT 39.0879 -28.0229 INGV|UGA-CNRS
IKLA00EST 57.8758 24.3829 INGV|SGO-EPND|UGA-CNRS
INGP00ITA 42.3825 13.3156 INGV|SGO-EPND|UGA-CNRS
SAX000SWE 64.9718 15.3475 INGV|SGO-EPND|UGA-CNRS
GROT00ITA 41.0728 15.0599 INGV|UGA-CNRS
UGA100EST 58.3619 25.563 INGV|SGO-EPND|UGA-CNRS
GPNG00REU -21.2398 55.7524 INGV|UGA-CNRS
MMBI00ITA 38.0331 15.7631 INGV|SGO-EPND|UGA-CNRS
FJSG00REU -21.2297 55.722 INGV|UGA-CNRS
SUUR00EST 59.4636 24.3803 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
BURB00ESP 42.7723 -6.7836 INGV|UGA-CNRS
RODI00ESP 42.2988 -7.5903 INGV|SGO-EPND|UGA-CNRS
HUE100ESP 37.132 -6.8337 INGV|SGO-EPND|UGA-CNRS
RMSR00ROU 45.3906 27.0384 INGV|SGO-EPND|UGA-CNRS
BUT100GBR 58.5156 -6.2609 INGV|UGA-CNRS
ATWR00BEL 51.2035 4.4476 INGV|SGO-EPND|UGA-CNRS
TITO00ITA 40.6013 15.7237 INGV|SGO-EPND|UGA-CNRS
QAQ100GRL 60.7153 -46.0478 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
GUMA00ITA 43.0628 13.3352 INGV|SGO-EPND|UGA-CNRS
BZRG00ITA 46.499 11.3368 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
GROG00ITA 43.4263 9.892 INGV|SGO-EPND|UGA-CNRS
HAGA00ITA 37.2859 15.155 INGV|SGO-EPND|UGA-CNRS
GRZM00ITA 44.2648 11.1481 INGV|SGO-EPND|UGA-CNRS
HAS600SWE 56.0922 13.718 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
FREG00REU -21.2018 55.6954 INGV|UGA-CNRS
IPRO00ITA 40.7651 14.0239 INGV|SGO-EPND|UGA-CNRS
IEJA00ESP 40.5257 -0.4061 INGV|SGO-EPND|UGA-CNRS
SJOR00ESP 39.3149 2.9982 INGV|SGO-EPND|UGA-CNRS
AUT100GRC 40.5668 23.0037 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
AVNR00EST 58.9852 26.8682 INGV|UGA-CNRS
GALF00ITA 37.7107 14.5665 INGV|SGO-EPND|UGA-CNRS
JACA00ESP 42.5673 -0.7265 INGV|SGO-EPND|UGA-CNRS
GBSG00REU -21.2739 55.7794 INGV|UGA-CNRS
SROM00ESP 42.234 -2.4572 INGV|SGO-EPND
HOL200DEU 54.3729 10.1568 INGV|SGO-EPND|UGA-CNRS
FUDE00ESP 43.1536 -4.8057 INGV|SGO-EPND|UGA-CNRS
CESI00ITA 43.005 12.9046 INGV|SGO-EPND|UGA-CNRS
UCBL00FRA 45.7813 4.8701 UGA-CNRS
GPOR00ROU 44.6754 28.9872 INGV|SGO-EPND
EPR200FRA 49.2165 -0.3664 INGV
MLA000SWE 65.1881 18.7586 INGV|SGO-EPND|UGA-CNRS
UGAL00EST 58.3618 25.5878 INGV|SGO-EPND|UGA-CNRS
CLU200ROU 46.7725383459594 23.6247971371559 SGO-EPND
CPAR00CZE 50.0395 15.7832 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
PDBC00ESP 40.8998 -5.2001 INGV|SGO-EPND
BADJ00ESP 38.8937 -6.9893 INGV|SGO-EPND|UGA-CNRS
GRA100ESP 37.1899 -3.5964 INGV|SGO-EPND|UGA-CNRS
HUOV00ESP 37.4016 -1.9421 INGV|SGO-EPND|UGA-CNRS
MMET00ITA 40.3898 16.7864 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
CLN200IRL 52.3653 -7.6916 INGV|SGO-EPND|UGA-CNRS
BABI00ITA 40.2939 15.6119 INGV|UGA-CNRS
PCO100PRT 41.9121 -8.5601 INGV|SGO-EPND|UGA-CNRS
SVIN00ITA 38.8028 15.2342 INGV|UGA-CNRS
