# Events file v1.0
#
# DATE            : 2025-04-02 at 20:58:13 (UTC)
# SITE            : 9-character site ID
# DDDDD.DDDD      : Decimal modified Julian day
# YYYYMMDDHRMN    : Year, month, day, hour, minute
# TYPE            : Either CHANGE (equipment), EQ (earthquake)
# DESCRIPTION     : CHANGE events are taken from SPOTGINS station_file.dat
#                 : EQ events comes from the PyTRF Python librairy (P. Rebischung), based on Metivier et. al, 2014 model
#
#____SITE DDDDD.DDDD YYYYMMDDHRMN __TYPE DESCRIPTION
MARS00FRA 58011.2917 201709150700 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 58357.5417 201808271300 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 58555.6250 201903131500 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 59381.4167 202106161000 CHANGE Receiver change
MARS00FRA 59621.4583 202202111100 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 60507.0000 202407160000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
SCOA00FRA 55082.5000 200909081200 CHANGE Receiver & Antenna change
SCOA00FRA 55644.2917 201103240700 CHANGE Other site log entry (firmware upgrade, cable change, ...)
SCOA00FRA 55802.2083 201108290500 CHANGE Other site log entry (firmware upgrade, cable change, ...)
SCOA00FRA 56071.2500 201205240600 CHANGE Other site log entry (firmware upgrade, cable change, ...)
SCOA00FRA 56198.2500 201209280600 CHANGE Receiver change
SCOA00FRA 56449.5417 201306061300 CHANGE Other site log entry (firmware upgrade, cable change, ...)
SCOA00FRA 56580.6667 201310151600 CHANGE Other site log entry (firmware upgrade, cable change, ...)
SCOA00FRA 56708.3750 201402200900 CHANGE Other site log entry (firmware upgrade, cable change, ...)
SCOA00FRA 56922.5000 201409221200 CHANGE Other site log entry (firmware upgrade, cable change, ...)
SCOA00FRA 56968.5417 201411071300 CHANGE Other site log entry (firmware upgrade, cable change, ...)
SCOA00FRA 57220.6250 201507171500 CHANGE Other site log entry (firmware upgrade, cable change, ...)
SCOA00FRA 57567.0000 201606280000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
SCOA00FRA 57699.7083 201611071700 CHANGE Other site log entry (firmware upgrade, cable change, ...)
SCOA00FRA 57967.4167 201708021000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
SCOA00FRA 58357.5417 201808271300 CHANGE Other site log entry (firmware upgrade, cable change, ...)
SCOA00FRA 58555.6250 201903131500 CHANGE Other site log entry (firmware upgrade, cable change, ...)
SCOA00FRA 59612.4167 202202021000 CHANGE Receiver change
SCOA00FRA 60507.0000 202407160000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PPT100PYF 58865.0000 202001170000 CHANGE Receiver, Antenna & Radome change
HIT100PYF 59591.0000 202201120000 CHANGE Receiver change
HIT100PYF 59646.0000 202203080000 CHANGE Receiver change
ABER00GLP 57377.9583 201512212300 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ABER00GLP 57890.9167 201705172200 CHANGE Antenna change
ABER00GLP 58317.9167 201807182200 CHANGE Receiver change
ABER00GLP 59810.9174 202208192201 CHANGE Other site log entry (firmware upgrade, cable change, ...)
BOUL00GLP 57379.3819 201512230910 CHANGE Other site log entry (firmware upgrade, cable change, ...)
BOUL00GLP 57772.9583 201701192300 CHANGE Other site log entry (firmware upgrade, cable change, ...)
BOUL00GLP 57890.9167 201705172200 CHANGE Antenna change
BOUL00GLP 59810.9208 202208192206 CHANGE Receiver & Antenna change
DESI00GLP 57377.9583 201512212300 CHANGE Other site log entry (firmware upgrade, cable change, ...)
DESI00GLP 57890.9167 201705172200 CHANGE Antenna change
DESI00GLP 59810.9208 202208192206 CHANGE Receiver change
LORI00MTQ 57377.9583 201512212300 CHANGE Other site log entry (firmware upgrade, cable change, ...)
LORI00MTQ 57770.9583 201701172300 CHANGE Other site log entry (firmware upgrade, cable change, ...)
LORI00MTQ 57890.9167 201705172200 CHANGE Antenna change
LORI00MTQ 59810.9208 202208192206 CHANGE Receiver change
MARI00MTQ 57377.9583 201512212300 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARI00MTQ 57771.9583 201701182300 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARI00MTQ 57890.9167 201705172200 CHANGE Antenna change
PASA00ESP 54301.0000 200707200000 CHANGE Receiver & Antenna change
PASA00ESP 54348.0000 200709050000 CHANGE Antenna change
PASA00ESP 54787.0000 200811170000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 54916.0000 200903260000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 54992.0000 200906100000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 55266.0000 201003110000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 55319.0000 201005030000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 55384.0000 201007070000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 55697.0000 201105160000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 55718.0000 201106060000 CHANGE Receiver, Antenna & Radome change
PASA00ESP 55984.0000 201202270000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 56054.0000 201205070000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 56167.0000 201208280000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 56407.0000 201304250000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 56643.0000 201312170000 CHANGE Antenna & Radome change
PASA00ESP 56748.0000 201404010000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 56800.0000 201405230000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 56849.0000 201407110000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 56950.0000 201410200000 CHANGE Antenna & Radome change
PASA00ESP 56996.0000 201412050000 CHANGE Antenna & Radome change
