# Offset file v1.0
#
# SITE            : 9-character site ID
# DDDDD.DDDD      : Decimal modified Julian day
# YYYYMMDDHRMN    : Year, month, day, hour, minute
# TYPE            : Either CHANGE (equipment), EQ (earthquake) or UNK (unknown)
# DN/SN           : Estimated north offset and 1-sigma standard deviation in mm [Optional, -9999999 by default]
# DE/SE           : Estimated east offset and 1-sigma standard deviation in mm [Optional, -9999999 by default]
# DU/SU           : Estimated height offset and 1-sigma standard deviation in mm [Optional, -9999999 by default]
# DESCRIPTION     : Free format comment [Optional]
#
#____SITE DDDDD.DDDD YYYYMMDDHRMN __TYPE ______DN ______SN ______DE ______SE ______DU ______SU DESCRIPTION
BLVR00FRA 56981.5833 201411201400 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BLVR00FRA 57331.4951 201511051153 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BLVR00FRA 57335.5042 201511091206 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BLVR00FRA 59617.4521 202202071051 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BMNT00FRA 57801.4167 201702171000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BMNT00FRA 57996.5979 201708311421 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BOGU00FRA 58323.4792 201807241130 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
BOUS00FRA 55404.5417 201007271300 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver, Antenna & Radome change
BOUS00FRA 56845.5417 201407071300 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
BOUS00FRA 57800.3333 201702160800 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
